exercise_id,display_name,instructions
EX111,Barbell Shrug,"Step 1: Stand holding a barbell in front of your thighs with an overhand grip, hands just outside shoulder width.
Step 2: Stand tall, shoulders in neutral position, core braced.
Step 3: Shrug your shoulders straight up toward your ears, lifting the bar.
Step 4: Lower your shoulders back to neutral with control."
EX112,Dumbbell Bulgarian Split Squat,"Step 1: Position a bench about 2-3 feet behind you.
Step 2: Place one foot behind you on the bench with laces down.
Step 3: Lower straight down by bending your front knee, keeping your chest tall.
Step 4: Drive through your front foot to stand back up."
EX113,Kettlbell Bulgarian Split Squat,"Step 1: Position a bench about 2-3 feet behind you.
Step 2: Place one foot behind you on the bench with laces down.
Step 3: Lower straight down by bending your front knee, keeping your torso upright.
Step 4: Push through your front foot to rise back up."
EX114,Elevated Dumbbell Bulgarian Split Squat,"Step 1: Place your front foot on a low platform or plate (2-4 inches).
Step 2: Place your rear foot on the bench with laces down.
Step 3: Lower straight down, allowing your front knee to travel forward over your toes.
Step 4: Drive through your front foot to stand tall."
EX115,Elevated Kettlbell Bulgarian Split Squat,"Step 1: Place your front foot on a low platform or plate.
Step 2: Place your rear foot on the bench with laces down.
Step 3: Lower straight down, letting your front knee travel forward.
Step 4: Push through your elevated front foot to stand."
EX116,Barbell Back Squat,"Step 1: Set the bar in the squat rack at armpit height.
Step 2: Unrack by driving your back into the bar and standing tall.
Step 3: Push your hips back and spread the floor apart with your feet as you lower.
Step 4: Drive the floor away through your whole foot, keeping your chest up."
EX117,Dumbbell Goblet Squat,"Step 1: Hold one dumbbell vertically in front of your chest, cupping the top of the weight with both hands.
Step 2: Stand with feet shoulder-width apart, toes turned out slightly.
Step 3: Push your hips back and sit down between your legs, keeping elbows inside your knees.
Step 4: Drive the floor away and stand tall, keeping the weight tight to your chest."
EX118,Kettlebell Goblet Squat,"Step 1: Grip the kettlebell by the horns (sides of the handle) with both hands, holding it at chest height.
Step 2: Stand with feet shoulder-width apart, toes turned out slightly.
Step 3: Push your hips back and sit down between your legs, letting your elbows track inside your knees.
Step 4: Push the floor away and stand tall, keeping the kettlebell close to your chest."
EX119,Dumbbell Goblet Squat (heels elevated),"Step 1: Place a weight plate or slant board on the floor.
Step 2: Step onto the plate with your heels elevated and toes on the floor.
Step 3: Sit straight down, keeping your torso upright.
Step 4: Drive through your feet and stand tall, maintaining balance on the elevated surface."
EX120,Kettlebell Goblet Squat (heels elevated),"Step 1: Place a weight plate or slant board on the floor.
Step 2: Step onto the plate with heels elevated, feet shoulder-width apart.
Step 3: Sit straight down, allowing your knees to travel forward over your toes.
Step 4: Push through your feet to stand tall, maintaining balance."
EX121,Barbell Front Squat,"Step 1: Set the bar in the squat rack at collarbone height.
Step 2: Unrack by driving your elbows up toward the ceiling and standing tall.
Step 3: Keep your elbows punching forward as you push your hips back and lower down.
Step 4: Drive the floor away while keeping your elbows high."
EX122,Kettlebell Front Squat,"Step 1: Clean two kettlebells into the front rack position—bells resting on the outside of your forearms, handles across your palms, elbows tucked tight to your ribs.
Step 2: Stand with feet shoulder-width apart, toes slightly out.
Step 3: Push your hips back and squat down, keeping your torso upright and elbows from flaring.
Step 4: Drive the floor away and stand tall, keeping the kettlebells stable in the rack."
EX123,Dumbbell Front Squat,"Step 1: Hold two dumbbells at shoulder height with ends resting on your shoulders.
Step 2: Stand with feet shoulder-width apart, toes slightly out.
Step 3: Push your hips back and lower down, keeping your torso upright and elbows high.
Step 4: Drive the floor away and stand tall, maintaining the dumbbell position."
EX124,Cable Squat,"Step 1: Set the cable pulley to the lowest position and attach a rope or straight bar handle.
Step 2: Step back until there's tension on the cable.
Step 3: Push your hips back and squat down while keeping your arms stationary.
Step 4: Drive through your feet to stand tall."
EX125,Dumbbell Cossack Squat,"Step 1: Hold a dumbbell in the goblet position at your chest, or let two dumbbells hang at your sides.
Step 2: Toes turned out slightly, weight distributed evenly.
Step 3: Shift your weight to one leg and squat down on that side while the other leg stays straight.
Step 4: Push through the bent leg to return to center, then shift to the other side."
EX126,Kettlebell Cossack Squat,"Step 1: Hold a kettlebell in the goblet position at your chest, gripping the horns.
Step 2: Toes turned out slightly, kettlebell tight to your chest.
Step 3: Shift your weight to one side and squat down on that leg while the other stays straight.
Step 4: Drive through the bent leg to return to center."
EX127,Dumbbell Sumo Squat,"Step 1: Hold a dumbbell vertically by one end with both hands, letting it hang at arm's length.
Step 2: The dumbbell hangs between your legs.
Step 3: Push your knees out over your toes and lower straight down, keeping your torso upright.
Step 4: Drive the floor away and stand tall, squeezing your glutes at the top."
EX128,Kettlebell Sumo Squat,"Step 1: Hold a kettlebell by the handle with both hands, letting it hang at arm's length.
Step 2: The kettlebell hangs between your legs, arms straight.
Step 3: Push your knees out and lower straight down, keeping your torso upright.
Step 4: Push the floor away to stand, keeping your knees out."
EX129,Dumbbell Step-Up,"Step 1: Stand facing a sturdy box or bench at knee height or slightly below.
Step 2: Place one foot completely on top of the box.
Step 3: Drive through the foot on the box to step up, bringing your trailing leg up to meet it.
Step 4: Step back down with the same leg that came up second."
EX130,Kettlebell Step-Up,"Step 1: Stand facing a sturdy box or bench at knee height or below.
Step 2: Place one foot fully on the box.
Step 3: Drive through the foot on the box to stand up tall.
Step 4: Step down with control, leading with your trailing leg."
EX131,Cable Step-Up,"Step 1: Set the cable pulley low and attach a handle.
Step 2: Place the foot further from the machine on top of the box.
Step 3: Drive through the foot on the box to step up, using the cable for added resistance.
Step 4: Step back down with control, maintaining tension on the cable."
EX132,Barbell Skull Crusher,"Step 1: Lie on a flat bench holding a barbell (or EZ bar) with a narrow grip.
Step 2: Arms extended over your chest, not over your face.
Step 3: Lower the bar toward your forehead by bending only at your elbows.
Step 4: Extend your elbows to press the bar back up to the starting position."
EX133,Dumbbell Skull Crusher,"Step 1: Lie on a flat bench holding a dumbbell in each hand.
Step 2: Arms extended, dumbbells over your chest.
Step 3: Lower the dumbbells toward the sides of your forehead by bending only at your elbows.
Step 4: Extend your elbows to press the dumbbells back up."
EX134,Cable Tricep Pushdown,"Step 1: Set the cable pulley to the highest position with a straight bar or rope attachment.
Step 2: Elbows pinned to your sides and bent at about 90 degrees.
Step 3: Push the handle down by extending your elbows until arms are straight.
Step 4: Let the handle rise back up with control until your elbows reach 90 degrees."
EX135,Overhead Dumbbell Extension,"Step 1: Stand or sit holding one dumbbell with both hands.
Step 2: Arms fully extended overhead, elbows close to your ears.
Step 3: Lower the dumbbell behind your head by bending your elbows.
Step 4: Extend your elbows to press the dumbbell back up overhead."
EX136,Pull Up,"Step 1: Grip a pull-up bar with hands slightly wider than shoulder-width, palms facing away from you.
Step 2: Dead hang position, shoulders engaged (not shrugged to your ears), core tight.
Step 3: Pull yourself up by driving your elbows down toward your hips.
Step 4: Lower yourself with control until arms are fully extended."
EX137,Chin Up,"Step 1: Grip a pull-up bar with hands shoulder-width apart, palms facing toward you.
Step 2: Dead hang with shoulders engaged, core tight.
Step 3: Pull yourself up by driving your elbows down and back.
Step 4: Lower yourself with control to a full hang."
EX138,Assisted Pull Up,"Step 1: Set the assisted pull-up machine with your desired weight.
Step 2: Hang with arms extended, knees or feet supported.
Step 3: Pull yourself up by driving your elbows down.
Step 4: Lower yourself with control to full arm extension."
EX139,Lat Pulldown,"Step 1: Sit at the lat pulldown machine with thighs secured under the pads.
Step 2: Arms extended overhead, shoulders stretched.
Step 3: Pull the bar down to your upper chest by driving your elbows toward your hips.
Step 4: Let the bar rise with control, fully extending your arms and feeling a stretch in your lats."
EX140,Neutral Grip Pull Up,"Step 1: Grip parallel handles on a pull-up bar with palms facing each other.
Step 2: Dead hang with shoulders engaged, core braced.
Step 3: Pull yourself up by driving your elbows down and back.
Step 4: Lower yourself with control to full extension."
EX141,Single Leg Bodyweight Calf Raise,"Step 1: Stand on one foot with the other leg slightly raised behind you or to the side.
Step 2: Keep your standing leg straight with a slight bend in the knee for balance.
Step 3: Rise up onto your toes as high as possible, squeezing your calf at the top.
Step 4: Lower your heel back down with control, maintaining balance on one leg."
EX142,Smith Machine Calf Raise,"Step 1: Position yourself under the Smith machine bar with the bar across your upper traps.
Step 2: Place the balls of your feet on a raised platform or weight plates, heels hanging off.
Step 3: Push through the balls of your feet to rise as high as possible.
Step 4: Lower your heels slowly below the platform level for a full stretch."
EX143,Barbell Good Morning,"Step 1: Set up in a squat rack with the bar across your upper traps, gripping slightly wider than shoulder-width.
Step 2: Stand with feet shoulder-width apart, slight bend in the knees that stays constant.
Step 3: Push your hips straight back and hinge forward, keeping your back flat and core braced.
Step 4: Drive your hips forward to return to standing tall, squeezing your glutes at the top."
EX144,Smith Machine Good Morning,"Step 1: Position yourself under the Smith machine bar with the bar across your upper traps.
Step 2: Stand with feet shoulder-width apart, slight bend in the knees that stays constant.
Step 3: Push your hips back and hinge forward, keeping your back flat as the bar travels down.
Step 4: Drive your hips forward to stand tall, keeping the bar path controlled."
EX145,Elevated Smith Machine Squat,"Step 1: Position yourself under the Smith machine bar with the bar across your upper traps.
Step 2: Place your heels on a raised platform or weight plates for increased quad emphasis.
Step 3: Push your hips back and squat down, keeping your torso upright.
Step 4: Drive through your feet to stand tall, pressing the bar back up."
EX146,Dumbbell Split Squat,"Step 1: Stand holding a dumbbell in each hand at your sides with arms straight.
Step 2: Take a long step forward and plant your front foot firmly.
Step 3: Lower straight down by bending both knees until your back knee nearly touches the floor.
Step 4: Drive through your front foot to stand back up to the starting position."
EX147,Kettlebell Split Squat,"Step 1: Stand holding a kettlebell in each hand at your sides, or one in the goblet position at your chest.
Step 2: Take a long step forward and plant your front foot firmly.
Step 3: Lower straight down by bending both knees until your back knee nearly touches the floor.
Step 4: Push through your front foot to return to standing."
EX148,Barbell Split Squat,"Step 1: Set up in a squat rack with the bar across your upper traps, gripping slightly wider than shoulder-width.
Step 2: Step back and position your feet in a split stance, one foot forward and one back.
Step 3: Lower straight down by bending both knees until your back knee nearly touches the floor.
Step 4: Drive through your front foot to stand back up, keeping the bar stable."
EX149,Dumbbell Elevated Split Squat,"Step 1: Stand on a low platform or weight plate holding dumbbells at your sides.
Step 2: Position your rear foot on the floor behind you in a split stance.
Step 3: Lower straight down by bending your front knee, allowing it to travel forward over your toes.
Step 4: Drive through your elevated front foot to stand tall."
EX150,Kettlebell Elevated Split Squat,"Step 1: Stand on a low platform or weight plate holding kettlebells at your sides or one at your chest.
Step 2: Position your rear foot on the floor behind you in a split stance.
Step 3: Lower straight down by bending your front knee, letting it travel forward.
Step 4: Push through your elevated front foot to return to standing."
EX151,Landmine Squat,"Step 1: Secure one end of a barbell in a landmine attachment or corner.
Step 2: Hold the free end of the bar at chest height with both hands.
Step 3: Push your hips back and squat down, keeping your torso upright and the bar close to your body.
Step 4: Drive through your feet to stand tall, pressing the bar back up."
EX152,Dumbbell Lateral Lunge,"Step 1: Stand tall holding a dumbbell in each hand at your sides, feet together.
Step 2: Take a wide step to one side, keeping your trailing leg straight.
Step 3: Push your hips back and bend the stepping leg, lowering until your thigh is parallel to the floor.
Step 4: Drive through your bent leg to push back to the starting position."
EX153,Kettlebell Lateral Lunge,"Step 1: Stand tall holding kettlebells at your sides or one at your chest in goblet position.
Step 2: Take a wide step to one side, keeping your trailing leg straight.
Step 3: Push your hips back and bend the stepping leg, lowering into a deep side lunge.
Step 4: Push through your bent leg to return to standing."
EX154,Machine Hip Thrust,"Step 1: Sit in the hip thrust machine with your back against the pad and feet flat on the footplate.
Step 2: Position the pad across your hips and release the safety if applicable.
Step 3: Drive through your heels and squeeze your glutes to press the weight up.
Step 4: Lower the weight with control back to the starting position."
EX155,Smith Machine Reverse Lunge,"Step 1: Position yourself under the Smith machine bar with the bar across your upper traps.
Step 2: Stand with feet together in the center of the machine.
Step 3: Step one foot back and lower your back knee toward the floor, keeping your torso upright.
Step 4: Drive through your front foot to bring your back leg forward to the starting position."
EX156,Smith Machine Elevated Reverse Lunge,"Step 1: Position yourself under the Smith machine bar with the bar across your upper traps.
Step 2: Stand on a low platform or step with feet together.
Step 3: Step one foot back off the platform and lower until your back knee nearly touches the floor.
Step 4: Drive through your front foot to return to standing on the platform."
EX157,Lying Reach Over,"Step 1: Lie on your back with your legs straight and arms extended overhead on the floor.
Step 2: Keep your lower back pressed into the floor and core engaged.
Step 3: Simultaneously raise one arm and the opposite leg to meet above your midsection.
Step 4: Lower back to the starting position with control, then repeat on the opposite side."
EX158,Weighted Lying Reach Over,"Step 1: Lie on your back holding a dumbbell with both hands, arms extended overhead.
Step 2: Keep your lower back pressed into the floor and core engaged.
Step 3: Raise your arms and legs simultaneously, bringing the weight toward your feet.
Step 4: Lower back to the starting position with control."
EX159,Jack Knife,"Step 1: Lie on your back with your legs straight and arms extended overhead on the floor.
Step 2: Keep your core braced and lower back pressed into the floor.
Step 3: Simultaneously raise your arms and legs to meet above your midsection, forming a V-shape.
Step 4: Lower your arms and legs back to the floor with control."
EX160,Weighted Jack Knife,"Step 1: Lie on your back holding a dumbbell or weight plate with both hands, arms extended overhead.
Step 2: Keep your legs straight and core braced.
Step 3: Raise your arms and legs simultaneously to meet above your midsection, touching the weight to your feet.
Step 4: Lower back to the starting position with control."
EX161,Extended Plank,"Step 1: Start in a plank position, then walk your hands forward past your shoulders.
Step 2: Keep your core braced, glutes squeezed, and body in a straight line from head to heels.
Step 3: Hold this extended position for the prescribed time, with hands further out than a standard plank.
Step 4: Walk your hands back to a standard plank position to rest."
EX162,Hanging Leg Raise ,"Step 1: Hang from a pull-up bar with hands shoulder-width apart, arms fully extended.
Step 2: Keep your core tight and avoid swinging.
Step 3: Raise your legs in front of you by flexing at the hips until they are parallel to the floor or higher.
Step 4: Lower your legs back down with control to a dead hang."
EX163,Hanging Knee Raise (Captain's Chair),"Step 1: Position yourself in the captain's chair with your back against the pad and arms on the armrests.
Step 2: Let your legs hang straight down, core engaged.
Step 3: Raise your knees toward your chest by flexing at the hips.
Step 4: Lower your legs back down with control."
EX164,Hanging Leg Raise (Captain's Chair),"Step 1: Position yourself in the captain's chair with your back against the pad and arms on the armrests.
Step 2: Let your legs hang straight down, core engaged.
Step 3: Raise your legs in front of you by flexing at the hips until they are parallel to the floor or higher.
Step 4: Lower your legs back down with control."
EX165,Weighted Russian Twist,"Step 1: Sit on the floor with knees bent and feet flat, holding a dumbbell or weight plate at your chest.
Step 2: Lean your torso back slightly with a flat back, feet hovering or grounded.
Step 3: Rotate your torso to one side, bringing the weight toward the floor beside your hip.
Step 4: Rotate to the other side, moving the weight across your body."
EX166,Decline Sit-Up,"Step 1: Secure your feet under the pads of a decline bench, lying face up with your head at the lower end.
Step 2: Cross your arms over your chest or place your hands behind your head.
Step 3: Curl your torso up by contracting your abs, lifting your shoulders toward your hips.
Step 4: Lower your torso back down with control, stopping just before your back touches the bench."
EX167,Weighted Decline Sit-Up,"Step 1: Secure your feet under the pads of a decline bench, holding a dumbbell or weight plate at your chest.
Step 2: Lie back with your head at the lower end of the bench.
Step 3: Curl your torso up by contracting your abs, keeping the weight tight to your chest.
Step 4: Lower your torso back down with control."
EX168,Cable Hip Adduction,"Step 1: Set the cable pulley to the lowest position with an ankle strap attached.
Step 2: Stand on the leg furthest from the machine, facing perpendicular to the cable.
Step 3: Pull your working leg across your body toward the machine, squeezing your inner thigh.
Step 4: Return your leg to the starting position with control, resisting the cable."
EX169,Machine Chest Press,"Step 1: Adjust the seat height so the handles are at chest level.
Step 2: Sit with your back flat against the pad and grip the handles.
Step 3: Press the handles forward until your arms are fully extended.
Step 4: Return the handles back to the starting position with control."
EX170,Machine Chest Press,"Step 1: Load the plates and adjust the seat so the handles are at chest level.
Step 2: Sit with your back flat against the pad and grip the handles.
Step 3: Press the handles forward until your arms are fully extended.
Step 4: Return the handles back to the starting position with control."
EX171,Machine Pec Deck Fly,"Step 1: Adjust the seat height and arm pads so your upper arms are parallel to the floor.
Step 2: Sit with your back against the pad and forearms on the arm pads.
Step 3: Squeeze your arms together in front of your chest by contracting your pecs.
Step 4: Open your arms back to the starting position with control."
EX172,Smith Machine Bench Press,"Step 1: Lie on the bench under the Smith machine bar with eyes under the bar.
Step 2: Unrack by rotating the bar and position it over your chest.
Step 3: Lower the bar to your mid-chest by bending your elbows at roughly 45 degrees from your body.
Step 4: Press the bar up by driving it toward the ceiling, then rotate to rack."
EX173,Deficit Push Up,"Step 1: Place your hands on the floor slightly wider than shoulder-width, with your feet elevated on blocks or weight plates.
Step 2: Arms straight, core braced, glutes squeezed, hands lower than your feet.
Step 3: Lower your chest past your hands by bending your elbows, getting a deeper stretch.
Step 4: Push the floor away to return to the start."
EX174,Machine Shoulder Press,"Step 1: Adjust the seat so the handles are at shoulder height.
Step 2: Sit with your back against the pad and grip the handles.
Step 3: Press the handles up until your arms are fully extended overhead.
Step 4: Lower the handles back to shoulder height with control."
EX175,Machine Shoulder Press,"Step 1: Load the plates and adjust the seat so the handles are at shoulder height.
Step 2: Sit with your back against the pad and grip the handles.
Step 3: Press the handles up until your arms are fully extended overhead.
Step 4: Lower the handles back to shoulder height with control."
EX176,Single Arm Landmine Press,"Step 1: Secure one end of a barbell in a landmine attachment or corner.
Step 2: Stand perpendicular to the barbell, gripping the free end with one hand at shoulder height.
Step 3: Press the bar up and forward in an arc until your arm is fully extended.
Step 4: Lower the bar back to shoulder height with control, then switch sides."
EX177,Single Arm Cable Lateral Raise,"Step 1: Set the cable pulley to the lowest position with a D-handle.
Step 2: Stand with your side to the machine, arm at your side with slight elbow bend.
Step 3: Raise your arm out to the side until it's parallel to the floor.
Step 4: Lower your arm back to your side with control, resisting the cable."
EX178,Standing Dumbbell Hammer Press,"Step 1: Stand holding a dumbbell in each hand at shoulder height with palms facing each other.
Step 2: Feet shoulder-width apart, core braced.
Step 3: Press both dumbbells up overhead, keeping your palms facing each other throughout.
Step 4: Lower the dumbbells back to shoulder height with control."
EX179,Barbell Upright Row,"Step 1: Stand holding a barbell with an overhand grip, hands slightly narrower than shoulder-width.
Step 2: Stand tall, core braced, bar resting against your thighs.
Step 3: Pull the bar up along your body toward your chin, leading with your elbows.
Step 4: Lower the bar back to your thighs with control."
EX180,Kettlebell Z-Press,"Step 1: Sit on the floor with legs extended straight in front of you.
Step 2: Clean a kettlebell to the rack position at your shoulder, or hold one in each hand.
Step 3: Press the kettlebell straight up, rotating your palm to face forward at the top.
Step 4: Lower the kettlebell back to the rack position with control."
EX181,Chest Supported Machine Row,"Step 1: Adjust the chest pad height so your arms can hang straight down.
Step 2: Sit or stand with your chest pressed against the pad.
Step 3: Pull the handles toward your lower ribs, squeezing your shoulder blades together.
Step 4: Extend your arms back to the starting position with control."
EX182,Chest Supported Machine Row,"Step 1: Load the plates and adjust the chest pad height so your arms can hang straight down.
Step 2: Position your chest against the pad.
Step 3: Pull the handles toward your lower ribs, squeezing your shoulder blades together.
Step 4: Extend your arms back to the starting position with control."
EX183,Straight Bar Lat Prayer,"Step 1: Set the cable pulley to a high position with a straight bar attachment.
Step 2: Kneel facing the cable, gripping the bar with straight arms overhead.
Step 3: Pull the bar down in an arc toward your thighs, keeping your arms straight and squeezing your lats.
Step 4: Let the bar rise back up with control, feeling a stretch in your lats."
EX184,Dumbbell Pullover,"Step 1: Lie on a flat bench holding a dumbbell with both hands, arms extended over your chest.
Step 2: Keep a slight bend in your elbows throughout the movement.
Step 3: Lower the dumbbell back over your head in an arc until you feel a stretch in your lats.
Step 4: Pull the dumbbell back over your chest by squeezing your lats and chest."
EX185,Kneeling Single Arm Lat Pulldown,"Step 1: Set the cable pulley to a high position with a D-handle attachment.
Step 2: Kneel facing the cable, gripping the handle with one arm extended overhead.
Step 3: Pull the handle down toward your hip, driving your elbow down and back.
Step 4: Let your arm extend back up with control, then switch sides."
EX186,Smith Machine Bent Over Row,"Step 1: Position yourself under the Smith machine bar, hinged forward at about 45 degrees.
Step 2: Grip the bar with hands slightly wider than shoulder-width, letting it hang at arm's length.
Step 3: Pull the bar toward your lower ribcage by driving your elbows back.
Step 4: Lower the bar with control back to arm's length."
EX187,Kettlebell Gorilla Row,"Step 1: Place two kettlebells on the floor between your feet, shoulder-width apart.
Step 2: Hinge at your hips with a flat back, gripping both kettlebell handles.
Step 3: Row one kettlebell to your hip while keeping the other on the ground, then switch.
Step 4: Alternate sides, maintaining your hinged position throughout."
EX188,Banded Pull Up,"Step 1: Loop a resistance band over a pull-up bar and step one or both feet into the band.
Step 2: Grip the bar with hands slightly wider than shoulder-width, palms facing away.
Step 3: Pull yourself up by driving your elbows down, using the band for assistance.
Step 4: Lower yourself with control until arms are fully extended."
EX189,Weighted Pull Up,"Step 1: Attach a weight belt with plates around your waist, or hold a dumbbell between your feet.
Step 2: Grip the bar with hands slightly wider than shoulder-width, hanging with added weight.
Step 3: Pull yourself up by driving your elbows down toward your hips.
Step 4: Lower yourself with control until arms are fully extended."
EX190,Seated Dumbbell Curl,"Step 1: Sit on a bench with your feet flat on the floor, holding a dumbbell in each hand at your sides.
Step 2: Palms facing forward, arms hanging straight down.
Step 3: Curl both dumbbells up toward your shoulders, keeping your elbows stationary.
Step 4: Lower the dumbbells back down with control."
EX191,Incline Dumbbell Curl,"Step 1: Set an adjustable bench to 45-60 degrees and sit back against it.
Step 2: Let your arms hang straight down at your sides, palms facing forward.
Step 3: Curl both dumbbells up toward your shoulders, keeping your upper arms stationary.
Step 4: Lower the dumbbells back down with control, feeling a stretch at the bottom."
EX192,Concentration Curl,"Step 1: Sit on a bench with your legs spread, holding a dumbbell in one hand.
Step 2: Rest your elbow against the inside of your thigh, arm extended down.
Step 3: Curl the dumbbell up toward your shoulder, keeping your upper arm pressed against your thigh.
Step 4: Lower the dumbbell back down with control, then switch arms."
EX193,Seated Hammer Curl,"Step 1: Sit on a bench with your feet flat on the floor, holding a dumbbell in each hand at your sides.
Step 2: Palms facing your thighs in a neutral grip, arms hanging straight.
Step 3: Curl both dumbbells up toward your shoulders while keeping your palms facing each other.
Step 4: Lower the dumbbells back down with control."
EX194,Reverse Straight Bar Cable Curl,"Step 1: Set the cable pulley to the lowest position with a straight bar attachment.
Step 2: Grip the bar with an overhand grip (palms facing down), arms extended.
Step 3: Curl the bar up toward your shoulders, keeping your elbows stationary.
Step 4: Lower the bar back down with control."
EX195,Reverse Barbell Curl,"Step 1: Stand holding a barbell with an overhand grip (palms facing down), hands shoulder-width apart.
Step 2: Stand tall with feet shoulder-width apart, bar against your thighs.
Step 3: Curl the bar up toward your shoulders, keeping your wrists straight and elbows stationary.
Step 4: Lower the bar back down with control."
EX196,Reverse Kettlebell Curl,"Step 1: Stand holding a kettlebell in each hand with an overhand grip (palms facing your thighs).
Step 2: Stand tall with feet shoulder-width apart, kettlebells at your sides.
Step 3: Curl both kettlebells up toward your shoulders, keeping your wrists straight.
Step 4: Lower the kettlebells back down with control."
EX197,Reverse Dumbbell Curl,"Step 1: Stand holding a dumbbell in each hand with an overhand grip (palms facing your thighs).
Step 2: Stand tall with feet shoulder-width apart, dumbbells at your sides.
Step 3: Curl both dumbbells up toward your shoulders, keeping your wrists straight.
Step 4: Lower the dumbbells back down with control."
EX198,EZ-Bar Curl,"Step 1: Stand holding an EZ-bar with an underhand grip on the angled portions.
Step 2: Stand tall with feet shoulder-width apart, bar against your thighs.
Step 3: Curl the bar up toward your shoulders, keeping your elbows stationary.
Step 4: Lower the bar back down with control."
EX199,EZ-Bar Cable Curl,"Step 1: Set the cable pulley to the lowest position with an EZ-bar attachment.
Step 2: Grip the angled portions of the bar with an underhand grip, arms extended.
Step 3: Curl the bar up toward your shoulders, keeping your elbows stationary.
Step 4: Lower the bar back down with control, resisting the cable."
EX200,EZ-Bar Preacher Curl,"Step 1: Sit at the preacher bench with your upper arms resting on the pad, holding an EZ-bar.
Step 2: Grip the angled portions of the bar, arms extended down the pad.
Step 3: Curl the bar up toward your shoulders, keeping your upper arms pressed into the pad.
Step 4: Lower the bar with control back down the pad."
EX201,Single Arm Dumbbell Preacher Curl,"Step 1: Sit at a preacher bench or use an incline bench set to about 45 degrees.
Step 2: Rest your upper arm against the pad, holding a dumbbell with palm facing up.
Step 3: Curl the dumbbell up toward your shoulder, keeping your upper arm pressed into the pad.
Step 4: Lower the dumbbell with control, then switch arms."
EX202,Dumbbell Preacher Curl,"Step 1: Sit at the preacher bench with your upper arms resting on the pad, holding a dumbbell in each hand.
Step 2: Palms facing up, arms extended down the pad.
Step 3: Curl both dumbbells up toward your shoulders, keeping your upper arms pressed into the pad.
Step 4: Lower the dumbbells with control back down the pad."
EX203,Machine Preacher Curl,"Step 1: Adjust the seat height so your upper arms rest comfortably on the pad.
Step 2: Grip the handles with palms facing up, arms extended.
Step 3: Curl the handles up toward your shoulders, keeping your upper arms on the pad.
Step 4: Lower with control back to the starting position."
EX204,Cable Bayesian Curl,"Step 1: Set the cable pulley to the lowest position with a D-handle attachment.
Step 2: Stand facing away from the machine, arm extended behind you holding the handle.
Step 3: Curl the handle forward and up toward your shoulder, keeping your upper arm stationary.
Step 4: Lower your arm back with control, then switch sides."
EX205,Rope Curl,"Step 1: Set the cable pulley to the lowest position with a rope attachment.
Step 2: Grip the rope with both hands, palms facing each other, arms extended.
Step 3: Curl the rope up toward your shoulders, keeping your elbows stationary.
Step 4: Lower the rope back down with control."
EX206,Close Grip Smith Machine Bench Press,"Step 1: Lie on the bench under the Smith machine bar with a close grip (hands about 12 inches apart).
Step 2: Unrack by rotating the bar and position it over your chest.
Step 3: Lower the bar to your lower chest, keeping elbows tucked at about 30 degrees.
Step 4: Press the bar straight up, then rotate to rack."
EX207,Weighted Dips,"Step 1: Attach a weight belt with plates around your waist.
Step 2: Grip the dip bars and press yourself up to straight arms, shoulders down.
Step 3: Lower yourself by bending your elbows until your upper arms are parallel to the floor.
Step 4: Press yourself back up to straight arms."
EX208,Banded Dips,"Step 1: Loop a resistance band over the dip bars and step your knees or feet into the band.
Step 2: Grip the bars and press up to straight arms, using the band for assistance.
Step 3: Lower yourself until your upper arms are parallel to the floor.
Step 4: Press back up to straight arms with band assistance."
EX209,Seated Single Arm Dumbbell Extension,"Step 1: Sit on a bench with back support, holding one dumbbell overhead with arm fully extended.
Step 2: Keep your upper arm close to your ear, elbow pointing up.
Step 3: Lower the dumbbell behind your head by bending your elbow.
Step 4: Extend your elbow to press the dumbbell back up, then switch arms."
EX210,Rope Overhead Extension,"Step 1: Set the cable pulley to the lowest position with a rope attachment.
Step 2: Face away from the machine, gripping the rope behind your head with elbows bent.
Step 3: Extend your elbows to press the rope overhead until arms are straight.
Step 4: Lower the rope back behind your head with control."
EX211,EZ-Bar Overhead Extension,"Step 1: Set the cable pulley to the lowest position with an EZ-bar attachment.
Step 2: Face away from the machine, gripping the bar behind your head with elbows bent.
Step 3: Extend your elbows to press the bar overhead until arms are straight.
Step 4: Lower the bar back behind your head with control."
EX212,Straight Bar Overhead Extension,"Step 1: Set the cable pulley to the lowest position with a straight bar attachment.
Step 2: Face away from the machine, gripping the bar behind your head with elbows bent.
Step 3: Extend your elbows to press the bar overhead until arms are straight.
Step 4: Lower the bar back behind your head with control."
EX213,Rope Pushdown,"Step 1: Set the cable pulley to the highest position with a rope attachment.
Step 2: Grip the rope with palms facing each other, elbows pinned to your sides.
Step 3: Push the rope down by extending your elbows, spreading the ends at the bottom.
Step 4: Let the rope rise back up with control until your elbows reach 90 degrees."
EX214,EZ-Bar Pushdown,"Step 1: Set the cable pulley to the highest position with an EZ-bar attachment.
Step 2: Grip the angled portions of the bar, elbows pinned to your sides.
Step 3: Push the bar down by extending your elbows until arms are straight.
Step 4: Let the bar rise back up with control until your elbows reach 90 degrees."
EX215,Single Arm Pushdown,"Step 1: Set the cable pulley to the highest position with a D-handle or no attachment.
Step 2: Grip the cable or handle with one hand, elbow pinned to your side.
Step 3: Push down by extending your elbow until your arm is straight.
Step 4: Let your arm rise back up with control, then switch sides."
